policy,tag,hit_rate,n_questions,planner_llm_calls,planner_llm_calls_saved,hits,misses,hit_total_s,miss_total_s,avg_hit_s,avg_miss_s,estimated_time_saved_s,full_speedup_x,wall_s_total,planner_avg_hit_s,planner_avg_miss_s,planner_full_speedup_x,speedup_x,accuracy,hit,f1,precision,recall
none,none,0.0,1628,1628,0,0,1628,0,3051.432,0.0,1.874,0.0,,3051.432,0.0,1.002,,,59.306848518158354,76.06177606177606,60.32738240014609,73.62285931689179,59.306848518158354
exact,exact,0.0,1628,160,0,0,1628,0,3175.715,0.0,1.951,0.0,,3175.715,0.0,1.017,,,58.68122702715692,75.1434034416826,59.99384512184569,74.49640147619935,58.68122702715692
semantic_lfu,semantic_lfu_t0.90,0.07678132678132678,1628,355,55,125,1503,127.501,3091.791,1.02,2.057,129.634,1.04,3219.292,0.119,1.239,1.138,2.02,58.15316113202615,74.61538461538461,59.24053248014723,73.83096336040826,58.15316113202615
semantic_lru,semantic_lru_t0.90,0.07678132678132678,1628,1503,125,125,1503,125.675,2999.023,1.005,1.995,123.745,1.04,3124.698,0.091,1.076,1.076,1.98,59.26181864189256,75.40038436899424,60.738372143707366,74.77479235020962,59.26181864189256
semantic_oracle,semantic_oracle_t0.90,0.06818181818181818,1628,720,81,111,1517,103.622,2916.945,0.934,1.923,109.813,1.04,3020.567,0.109,1.093,1.1,2.06,59.34132249978687,76.24521072796935,60.74904133696455,75.16580169923087,59.34132249978687
