policy,tag,hit_rate,n_questions,planner_llm_calls,planner_llm_calls_saved,hits,misses,hit_total_s,miss_total_s,avg_hit_s,avg_miss_s,estimated_time_saved_s,full_speedup_x,wall_s_total,planner_avg_hit_s,planner_avg_miss_s,planner_full_speedup_x,speedup_x,accuracy,hit,f1,precision,recall
none,none,0.0,1628,314,0,0,1628,0,5019.027,0.0,3.083,0.0,,5019.027,0.0,1.591,,,49.670820983724866,63.18377381684081,50.39856226203521,60.66603938634025,49.670820983724866
exact,exact,0.0,1628,0,0,0,1628,0,4759.583,0.0,2.924,0.0,,4759.583,0.0,0.0,,,49.59716332571057,62.8992628992629,49.78229440303919,59.1434638479799,49.59716332571057
semantic_lfu,semantic_lfu_t0.90,0.07678132678132678,1628,39,4,125,1503,210.326,5350.084,1.683,3.56,234.625,1.04,5560.41,0.14,2.591,1.097,2.12,49.82518625416135,62.776412776412776,49.828804452427605,58.39072817138454,49.82518625416135
semantic_lru,semantic_lru_t0.90,0.07678132678132678,1628,1503,125,125,1503,116.925,4217.877,0.935,2.806,233.863,1.05,4334.802,0.097,1.723,1.078,3.0,48.72037825848315,62.08791208791209,49.16819157384683,58.67212975229921,48.72037825848315
semantic_oracle,semantic_oracle_t0.90,0.06818181818181818,1628,443,59,111,1517,167.769,5109.136,1.511,3.368,206.07,1.04,5276.905,0.123,1.899,1.124,2.23,50.03362135889508,63.697788697788695,50.4752427912402,60.1254105688801,50.03362135889508
