policy,tag,hit_rate,n_questions,planner_llm_calls,planner_llm_calls_saved,hits,misses,hit_total_s,miss_total_s,avg_hit_s,avg_miss_s,estimated_time_saved_s,full_speedup_x,wall_s_total,planner_avg_hit_s,planner_avg_miss_s,planner_full_speedup_x,speedup_x,accuracy,hit,f1,precision,recall
none,none,0.0,1628,1628,0,0,1628,0,5003.749,0.0,3.074,0.0,,5003.749,0.0,1.655,,,49.52610884037733,63.09963099630996,49.76548618011386,59.566714225129594,49.52610884037733
exact,exact,0.0,1628,1628,0,0,1628,0,3205.489,0.0,1.969,0.0,,3205.489,0.0,1.694,,,41.81818181818181,54.54545454545455,42.56198347107438,50.0,41.81818181818181
semantic_lfu,semantic_lfu_t0.90,0.07678132678132678,1628,526,71,125,1503,137.946,4558.874,1.104,3.033,241.201,1.05,4696.82,0.112,1.995,1.126,2.75,47.83147478873306,61.14381833473507,48.378019176096096,58.118047271022924,47.83147478873306
semantic_lru,semantic_lru_t0.90,0.07678132678132678,1628,1503,125,125,1503,163.608,4592.641,1.309,3.056,218.348,1.05,4756.248,0.092,1.658,1.078,2.33,49.038097367699805,61.91646191646192,49.13999789490714,57.82576613613564,49.038097367699805
semantic_oracle,semantic_oracle_t0.90,0.06818181818181818,1628,0,0,111,1517,168.645,5165.228,1.519,3.405,209.298,1.04,5333.874,0.0,0.0,,2.24,49.46356391772851,63.022113022113025,49.87844388581517,59.1551002540057,49.46356391772851
