policy,tag,hit_rate,n_questions,planner_llm_calls,planner_llm_calls_saved,hits,misses,hit_total_s,miss_total_s,avg_hit_s,avg_miss_s,estimated_time_saved_s,full_speedup_x,wall_s_total,planner_avg_hit_s,planner_avg_miss_s,planner_full_speedup_x,speedup_x,accuracy,hit,f1,precision,recall
none,none,0.0,1628,1628,0,0,1628,0,3070.023,0.0,1.886,0.0,,3070.023,0.0,0.989,,,59.094035818913476,75.5956213779781,60.34250619173755,73.97883419519836,59.094035818913476
exact,exact,0.0,1628,197,0,0,1628,0,3105.894,0.0,1.908,0.0,,3105.894,0.0,1.141,,,59.16190247396165,75.56270096463022,60.32996817070533,74.7769078057176,59.16190247396165
semantic_lfu,semantic_lfu_t0.90,0.07678132678132678,1628,688,84,125,1503,113.0,2626.667,0.904,1.748,105.452,1.04,2739.667,0.107,0.808,1.104,1.93,59.21595099862641,75.60819462227913,60.31123832864463,74.70267968738679,59.21595099862641
semantic_lru,semantic_lru_t0.90,0.07678132678132678,1628,1503,125,125,1503,123.261,3148.916,0.986,2.095,138.625,1.04,3272.177,0.091,1.196,1.076,2.12,59.032283921116864,75.3688261706222,60.01234945725084,72.52359372817374,59.032283921116864
semantic_oracle,semantic_oracle_t0.90,0.06818181818181818,1628,723,81,111,1517,105.273,2906.477,0.948,1.916,107.396,1.04,3011.751,0.106,1.088,1.1,2.02,59.40889023207431,75.88424437299035,60.46681707536993,74.91794316902813,59.40889023207431
